Abraham_Lincoln_had_no_middle_name,t
Germany_drinks_the_most_beer_in_the_world_per_person,f
Ronald_Reagan_was_a_waiter_during_high_school,f
The_kids’_bathroom_on_The_Brady_Bunch_didn’t_have_a_toilet,t
Nemo_is_a_puffer_fish,f
There_was_no_World_Series_in_1994,t
John_Lennon’s_middle_name_was_Edward,f
Broccoli_was_once_banned_from_the_White_House,t
Japan_has_square_watermelons,t
Pinocchio_was_the_first_animated_full-color_Walt_Disney_feature_film,f
Porcupines_can_float,t
There_are_100 dimples_on_a_golf_ball,f
